entity_id,metric_id,year,value
37284,total_appearances,,17
16016,total_appearances,,17
261234,total_appearances,,17
37428,total_appearances,,17
1243,total_appearances,,17
410173,total_appearances,,17
247302,total_appearances,,17
51760,total_appearances,,17
452132,total_appearances,,17
7421,total_appearances,,17
2572,total_appearances,,17
26370,total_appearances,,17
40073,total_appearances,,17
7698,total_appearances,,17
1152,total_appearances,,17
120814,total_appearances,,17
439427,total_appearances,,17
16168,total_appearances,,17
17543,total_appearances,,17
35538,total_appearances,,17
32202,total_appearances,,17
57136,total_appearances,,17
19636,total_appearances,,17
196514,total_appearances,,17
250444,total_appearances,,17
442834,total_appearances,,17
669694,total_appearances,,17
3352,total_appearances,,16
24409,total_appearances,,16
18176,total_appearances,,16
1329,total_appearances,,16
1455,total_appearances,,16
24410,total_appearances,,16
1272,total_appearances,,16
1277,total_appearances,,16
35900,total_appearances,,16
2355,total_appearances,,16
248762,total_appearances,,16
1645,total_appearances,,16
18318,total_appearances,,16
422510,total_appearances,,16
175464,total_appearances,,16
347135,total_appearances,,16
12831,total_appearances,,16
2397,total_appearances,,16
1377,total_appearances,,16
27253,total_appearances,,16
32379,total_appearances,,16
14613,total_appearances,,16
5445,total_appearances,,16
2613,total_appearances,,16
17997,total_appearances,,16
19557,total_appearances,,16
23850,total_appearances,,16
4571,total_appearances,,16
1989,total_appearances,,16
19954,total_appearances,,16
19050,total_appearances,,16
1166,total_appearances,,16
13443,total_appearances,,16
56037,total_appearances,,16
15660,total_appearances,,16
1883,total_appearances,,16
1917,total_appearances,,16
2346,total_appearances,,16
665665,total_appearances,,16
13055,total_appearances,,16
4150,total_appearances,,16
24335,total_appearances,,16
2396,total_appearances,,16
11474,total_appearances,,16
7743,total_appearances,,16
39605,total_appearances,,16
34121,total_appearances,,16
339198,total_appearances,,16
342253,total_appearances,,16
609881,total_appearances,,16
18708,total_appearances,,15
13151,total_appearances,,15
237811,total_appearances,,15
2717,total_appearances,,15
1699,total_appearances,,15
185875,total_appearances,,15
2459,total_appearances,,15
2732,total_appearances,,15
15306,total_appearances,,15
19300,total_appearances,,15
492015,total_appearances,,15
16600,total_appearances,,15
30489,total_appearances,,15
11940,total_appearances,,15
2473,total_appearances,,15
1476,total_appearances,,15
14614,total_appearances,,15
4605,total_appearances,,15
9799,total_appearances,,15
22797,total_appearances,,15
2157,total_appearances,,15
641030,total_appearances,,15
12829,total_appearances,,15
19328,total_appearances,,15
1814,total_appearances,,15
2375,total_appearances,,15
131191,total_appearances,,15
209175,total_appearances,,15
161266,total_appearances,,15
498077,total_appearances,,15
261322,total_appearances,,15
250722,total_appearances,,15
239812,total_appearances,,15
250446,total_appearances,,15
300685,total_appearances,,15
482120,total_appearances,,15
640754,total_appearances,,15
8926,total_appearances,,14
14857,total_appearances,,14
2027,total_appearances,,14
1549,total_appearances,,14
12833,total_appearances,,14
239784,total_appearances,,14
4117,total_appearances,,14
244379,total_appearances,,14
425463,total_appearances,,14
2147,total_appearances,,14
33017,total_appearances,,14
4139,total_appearances,,14
16159,total_appearances,,14
440114,total_appearances,,14
439475,total_appearances,,14
15219,total_appearances,,14
24802,total_appearances,,14
3964,total_appearances,,14
15859,total_appearances,,14
195265,total_appearances,,14
1175,total_appearances,,14
7313,total_appearances,,14
9144,total_appearances,,14
482723,total_appearances,,14
44826,total_appearances,,14
21393,total_appearances,,14
1143,total_appearances,,14
2500,total_appearances,,14
2258,total_appearances,,14
23124,total_appearances,,14
683337,total_appearances,,14
36940,total_appearances,,14
2505,total_appearances,,14
2404,total_appearances,,14
8929,total_appearances,,14
402328,total_appearances,,14
120939,total_appearances,,14
250453,total_appearances,,14
338289,total_appearances,,14
253079,total_appearances,,14
605379,total_appearances,,14
21721,total_appearances,,14
594952,total_appearances,,13
16191,total_appearances,,13
27136,total_appearances,,13
2165,total_appearances,,13
55536,total_appearances,,13
70071,total_appearances,,13
164739,total_appearances,,13
36998,total_appearances,,13
30791,total_appearances,,13
18342,total_appearances,,13
25592,total_appearances,,13
2703,total_appearances,,13
15184,total_appearances,,13
1910,total_appearances,,13
33018,total_appearances,,13
9722,total_appearances,,13
195416,total_appearances,,13
35477,total_appearances,,13
64929,total_appearances,,13
1250,total_appearances,,13
13365,total_appearances,,13
1037,total_appearances,,13
2021,total_appearances,,13
1845,total_appearances,,13
1108,total_appearances,,13
19537,total_appearances,,13
86168,total_appearances,,13
1751,total_appearances,,13
2263,total_appearances,,13
1193,total_appearances,,13
244821,total_appearances,,13
13234,total_appearances,,13
17175,total_appearances,,13
18379,total_appearances,,13
1807,total_appearances,,13
2492,total_appearances,,13
64861,total_appearances,,13
580964,total_appearances,,13
123230,total_appearances,,13
4222,total_appearances,,13
19494,total_appearances,,13
16925,total_appearances,,13
7607,total_appearances,,13
11831,total_appearances,,13
288355,total_appearances,,13
1793,total_appearances,,13
13244,total_appearances,,13
9043,total_appearances,,13
13242,total_appearances,,13
21724,total_appearances,,13
2601,total_appearances,,13
16389,total_appearances,,13
346256,total_appearances,,13
6721,total_appearances,,13
16990,total_appearances,,13
22061,total_appearances,,13
342905,total_appearances,,13
338753,total_appearances,,13
332712,total_appearances,,13
347148,total_appearances,,13
451356,total_appearances,,13
307802,total_appearances,,13
394972,total_appearances,,13
407696,total_appearances,,13
745756,total_appearances,,13
18815,total_appearances,,12
7805,total_appearances,,12
1905,total_appearances,,12
36938,total_appearances,,12
201884,total_appearances,,12
227766,total_appearances,,12
40060,total_appearances,,12
2719,total_appearances,,12
16575,total_appearances,,12
12751,total_appearances,,12
1237,total_appearances,,12
1452,total_appearances,,12
199021,total_appearances,,12
24412,total_appearances,,12
12823,total_appearances,,12
35902,total_appearances,,12
15927,total_appearances,,12
21989,total_appearances,,12
286814,total_appearances,,12
1810,total_appearances,,12
19597,total_appearances,,12
17247,total_appearances,,12
16061,total_appearances,,12
396488,total_appearances,,12
6152,total_appearances,,12
16450,total_appearances,,12
1357,total_appearances,,12
18789,total_appearances,,12
44345,total_appearances,,12
16170,total_appearances,,12
522987,total_appearances,,12
19671,total_appearances,,12
685241,total_appearances,,12
177281,total_appearances,,12
19583,total_appearances,,12
114013,total_appearances,,12
43770,total_appearances,,12
79575,total_appearances,,12
34677,total_appearances,,12
78115,total_appearances,,12
21720,total_appearances,,12
21476,total_appearances,,12
43315,total_appearances,,12
121264,total_appearances,,12
15381,total_appearances,,12
39501,total_appearances,,12
90504,total_appearances,,12
318158,total_appearances,,12
90506,total_appearances,,12
90505,total_appearances,,12
21155,total_appearances,,12
23588,total_appearances,,12
338835,total_appearances,,12
153256,total_appearances,,12
407709,total_appearances,,12
396104,total_appearances,,12
407698,total_appearances,,12
504630,total_appearances,,12
578694,total_appearances,,12
570331,total_appearances,,12
640769,total_appearances,,12
2670,total_appearances,,11
17508,total_appearances,,11
289461,total_appearances,,11
15348,total_appearances,,11
527024,total_appearances,,11
1854,total_appearances,,11
15060,total_appearances,,11
2710,total_appearances,,11
2707,total_appearances,,11
1405,total_appearances,,11
2412,total_appearances,,11
260479,total_appearances,,11
86366,total_appearances,,11
1495,total_appearances,,11
2409,total_appearances,,11
1266,total_appearances,,11
1195,total_appearances,,11
73846,total_appearances,,11
16172,total_appearances,,11
86402,total_appearances,,11
15394,total_appearances,,11
410168,total_appearances,,11
1062,total_appearances,,11
1847,total_appearances,,11
2190,total_appearances,,11
7575,total_appearances,,11
174398,total_appearances,,11
4476,total_appearances,,11
477439,total_appearances,,11
3931,total_appearances,,11
19563,total_appearances,,11
2255,total_appearances,,11
70480,total_appearances,,11
65391,total_appearances,,11
16491,total_appearances,,11
413942,total_appearances,,11
5353,total_appearances,,11
16782,total_appearances,,11
280718,total_appearances,,11
9775,total_appearances,,11
17138,total_appearances,,11
13243,total_appearances,,11
522778,total_appearances,,11
177284,total_appearances,,11
286999,total_appearances,,11
7663,total_appearances,,11
19605,total_appearances,,11
2019,total_appearances,,11
256543,total_appearances,,11
27309,total_appearances,,11
52275,total_appearances,,11
289460,total_appearances,,11
52047,total_appearances,,11
89434,total_appearances,,11
289412,total_appearances,,11
10191,total_appearances,,11
23585,total_appearances,,11
23589,total_appearances,,11
453610,total_appearances,,11
110656,total_appearances,,11
338040,total_appearances,,11
240076,total_appearances,,11
352982,total_appearances,,11
478008,total_appearances,,11
489813,total_appearances,,11
510428,total_appearances,,11
532561,total_appearances,,11
502003,total_appearances,,11
640759,total_appearances,,11
477516,total_appearances,,10
11406,total_appearances,,10
16124,total_appearances,,10
17515,total_appearances,,10
12197,total_appearances,,10
2509,total_appearances,,10
9122,total_appearances,,10
307063,total_appearances,,10
2167,total_appearances,,10
2041,total_appearances,,10
15326,total_appearances,,10
298042,total_appearances,,10
15286,total_appearances,,10
9041,total_appearances,,10
1112,total_appearances,,10
17415,total_appearances,,10
14096,total_appearances,,10
318066,total_appearances,,10
54858,total_appearances,,10
242649,total_appearances,,10
15338,total_appearances,,10
2713,total_appearances,,10
1099,total_appearances,,10
2739,total_appearances,,10
57234,total_appearances,,10
1443,total_appearances,,10
1925,total_appearances,,10
302028,total_appearances,,10
197538,total_appearances,,10
534267,total_appearances,,10
1373,total_appearances,,10
246422,total_appearances,,10
2432,total_appearances,,10
15407,total_appearances,,10
41592,total_appearances,,10
4252,total_appearances,,10
653716,total_appearances,,10
4050,total_appearances,,10
18223,total_appearances,,10
309331,total_appearances,,10
16844,total_appearances,,10
557079,total_appearances,,10
78093,total_appearances,,10
18258,total_appearances,,10
62591,total_appearances,,10
1750,total_appearances,,10
2311,total_appearances,,10
397858,total_appearances,,10
397880,total_appearances,,10
406376,total_appearances,,10
2001,total_appearances,,10
44277,total_appearances,,10
2163,total_appearances,,10
314770,total_appearances,,10
69223,total_appearances,,10
256708,total_appearances,,10
17280,total_appearances,,10
30318,total_appearances,,10
34867,total_appearances,,10
13245,total_appearances,,10
63554,total_appearances,,10
1419,total_appearances,,10
422512,total_appearances,,10
389009,total_appearances,,10
298119,total_appearances,,10
16058,total_appearances,,10
21772,total_appearances,,10
16939,total_appearances,,10
2040,total_appearances,,10
18534,total_appearances,,10
17538,total_appearances,,10
174110,total_appearances,,10
115455,total_appearances,,10
